X.1,Right,Wrong,Don't know
10/11/2022,70,19,11
02/11/2022,77,15,8
21/10/2022,75,15,10
12/10/2022,72,15,13
07/10/2022,75,14,11
22/09/2022,73,18,9
07/09/2022,75,16,9
01/09/2022,77,13,10
25/08/2022,75,15,10
28/07/2022,74,15,11
22/07/2022,76,13,11
14/07/2022,75,15,10
07/07/2022,77,16,7
29/06/2022,77,12,11
25/05/2022,75,15,10
19/05/2022,80,12,8
06/05/2022,80,12,8
27/04/2022,76,14,10
20/04/2022,78,13,9
07/04/2022,79,12,9
23/03/2022,79,12,9
04/03/2022,77,14,9
02/02/2022,78,13,9
12/01/2022,77,12,11
07/01/2022,77,14,9
20/12/2021,80,13,7
15/12/2021,82,11,7
02/12/2021,77,13,10
25/11/2021,79,12,9
18/11/2021,79,9,12
11/11/2021,77,12,11
04/11/2021,79,12,9
13/10/2021,78,13,9
16/09/2021,82,9,9
03/09/2021,80,11,9
26/08/2021,82,11,7
06/08/2021,83,11,6
29/07/2021,85,8,7
16/07/2021,83,11,6
08/07/2021,85,8,7
30/06/2021,83,10,7
17/06/2021,85,8,7
10/06/2021,88,6,6
20/05/2021,87,7,6
14/04/2021,82,10,8
08/04/2021,83,8,9
01/04/2021,86,7,7
26/03/2021,85,7,8
10/03/2021,82,11,7
04/03/2021,83,10,7
26/02/2021,84,9,7
18/02/2021,82,10,8
10/02/2021,84,9,7
03/02/2021,84,8,8
27/01/2021,82,10,8
22/01/2021,80,9,11
14/01/2021,82,10,8
05/01/2021,83,9,8
16/12/2020,82,11,7
09/12/2020,81,10,9
03/12/2020,78,11,11
27/11/2020,80,11,9
18/11/2020,82,10,8
12/11/2020,82,10,8
05/11/2020,80,13,7
29/10/2020,81,10,9
22/10/2020,80,12,8
07/10/2020,81,10,9
30/09/2020,82,9,9
24/09/2020,82,12,6
09/09/2020,84,7,9
04/09/2020,84,9,7
25/08/2020,83,9,8
19/08/2020,81,9,10
12/08/2020,84,10,6
05/08/2020,79,11,10
31/07/2020,84,7,9
23/07/2020,85,8,7
12/06/2020,82,9,9
30/05/2020,86,8,6
19/05/2020,85,9,6
24/04/2020,89,4,7
17/04/2020,85,9,6
10/02/2020,85,7,8
02/02/2020,84,8,8
26/01/2020,82,9,9
12/11/2019,82,9,9
06/11/2019,82,9,9
21/10/2019,85,8,7
15/10/2019,84,9,7
09/10/2019,86,8,6
01/10/2019,82,10,8
03/09/2019,83,9,8
29/08/2019,81,11,8
28/08/2019,82,9,9
23/08/2019,82,9,9
14/08/2019,86,8,6
06/08/2019,83,8,9
30/07/2019,82,9,9
17/07/2019,81,11,8
03/07/2019,83,10,7
10/06/2019,84,9,7
06/06/2019,84,9,7
29/05/2019,84,7,9
11/04/2019,83,8,9
03/04/2019,85,6,9
25/03/2019,80,10,10
07/03/2019,84,8,8
23/02/2019,83,10,7
04/02/2019,81,10,9
31/01/2019,82,9,9
14/01/2019,80,11,9
07/01/2019,81,9,10
11/12/2018,82,9,9
04/12/2018,80,11,9
27/11/2018,85,7,8
20/11/2018,85,7,8
15/11/2018,85,8,7
05/11/2018,84,8,8
23/10/2018,85,7,8
09/10/2018,81,9,10
01/10/2018,84,8,8
19/09/2018,82,8,10
13/09/2018,83,3,14
04/09/2018,83,10,7
29/08/2018,82,8,10
21/08/2018,83,9,8
14/08/2018,84,6,10
09/08/2018,82,7,11
23/07/2018,83,7,10
17/07/2018,83,7,10
11/07/2018,82,9,9
09/07/2018,83,7,10
04/07/2018,85,8,7
26/06/2018,84,7,9
19/06/2018,85,7,8
12/06/2018,84,7,9
05/06/2018,87,5,8
29/05/2018,81,9,10
21/05/2018,84,7,9
14/05/2018,87,5,8
09/05/2018,86,7,7
01/05/2018,85,7,8
25/04/2018,84,6,10
17/04/2018,84,7,9
10/04/2018,83,8,9
27/03/2018,84,7,9
06/03/2018,84,8,8
27/02/2018,86,6,8
20/02/2018,84,7,9
13/02/2018,82,7,11
06/02/2018,85,6,9
29/01/2018,82,8,10
17/01/2018,85,6,9
08/01/2018,83,8,9
20/12/2017,85,7,8
11/12/2017,87,5,8
05/12/2017,84,7,9
28/11/2017,84,5,11
08/11/2017,84,8,8
19/10/2017,83,7,10
11/10/2017,86,7,7
24/09/2017,86,6,8
12/09/2017,88,5,7
31/08/2017,87,5,8
22/08/2017,88,5,7
18/08/2017,88,4,8
01/08/2017,88,6,6
19/07/2017,88,6,6
11/07/2017,87,5,8
22/06/2017,87,6,7
07/06/2017,90,5,5
31/05/2017,89,4,7
25/05/2017,90,5,5
17/05/2017,89,5,6
10/05/2017,87,6,7
03/05/2017,91,3,6
26/04/2017,85,8,7
19/04/2017,88,5,7
13/04/2017,87,4,9
06/04/2017,91,4,5
27/03/2017,86,5,9
21/03/2017,87,5,8
14/03/2017,87,4,9
28/02/2017,89,4,7
22/02/2017,89,4,7
13/02/2017,88,4,8
31/01/2017,88,5,7
18/01/2017,90,4,6
10/01/2017,90,4,6
04/01/2017,90,5,5
19/12/2016,89,5,6
05/12/2016,89,4,7
29/11/2016,86,6,8
15/11/2016,92,4,4
12/10/2016,89,4,7
14/09/2016,90,4,6
31/08/2016,91,4,5
23/08/2016,92,2,6
17/08/2016,91,3,6
09/08/2016,89,5,6
02/08/2016,94,2,4